2016-09-30 19:18:06 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-09-30 19:18:06 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-30 19:18:06 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-09-30 19:18:06 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-11-03 18:25:05 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2016-11-03 18:25:05 Debug: command 'benchmark' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-11-03 18:25:05 Debug: command 'whitespace' in plugin 'DebugKit' was not aliased, conflicts with 'DebugKit'
2016-11-03 18:25:05 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2016-11-03 18:25:05 Debug: command 'publish' in plugin 'TwitterBootstrap' was not aliased, conflicts with 'TwitterBootstrap'
2017-03-16 02:31:03 Debug: command 'bake' in plugin 'Bake' was not aliased, conflicts with 'Bake'
2017-03-16 02:31:03 Debug: command 'migrations' in plugin 'Migrations' was not aliased, conflicts with 'Migrations'
2017-03-16 02:31:03 Debug: command 'publish' in plugin 'TwitterBootstrap' was not aliased, conflicts with 'TwitterBootstrap'
